Serial Number,Project Name,Project Num,Sector,Vintage,Date of Action,Quantity,CreditType,Credit Status,Comments
FCC-ISL-354-17-14-R-0-2041,Arnaldsstaðir,17,14,2041,,38,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2041,Arnaldsstaðir,17,14,2041,,5,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2041,Arnaldsstaðir,17,14,2041,,6,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2042,Arnaldsstaðir,17,14,2042,,6,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2042,Arnaldsstaðir,17,14,2042,,4,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2042,Arnaldsstaðir,17,14,2042,,393,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2042,Arnaldsstaðir,17,14,2042,,50,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2042,Arnaldsstaðir,17,14,2042,,7,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2042,Arnaldsstaðir,17,14,2042,,2,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2042,Arnaldsstaðir,17,14,2042,,12,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2042,Arnaldsstaðir,17,14,2042,,40,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2042,Arnaldsstaðir,17,14,2042,,5,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2042,Arnaldsstaðir,17,14,2042,,6,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2043,Arnaldsstaðir,17,14,2043,,6,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2043,Arnaldsstaðir,17,14,2043,,4,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2043,Arnaldsstaðir,17,14,2043,,404,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2043,Arnaldsstaðir,17,14,2043,,51,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2043,Arnaldsstaðir,17,14,2043,,7,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2043,Arnaldsstaðir,17,14,2043,,2,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2043,Arnaldsstaðir,17,14,2043,,12,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2043,Arnaldsstaðir,17,14,2043,,41,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2043,Arnaldsstaðir,17,14,2043,,5,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2043,Arnaldsstaðir,17,14,2043,,6,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2044,Arnaldsstaðir,17,14,2044,,6,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2044,Arnaldsstaðir,17,14,2044,,4,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2044,Arnaldsstaðir,17,14,2044,,407,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2044,Arnaldsstaðir,17,14,2044,,51,FCC,Ex-ante,
