step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
749,0.42731,0.92276,,
750,0.43118,0.91534,0.1999,0.96838
751,0.07188,0.9798,,
752,0.1955,0.95221,,
753,0.03393,0.98469,,
754,0.02119,0.98895,,
755,0.28889,0.95019,,
756,0.12724,0.96565,,
757,0.1079,0.96026,,
758,0.2688,0.93333,,
759,0.12065,0.96818,,
760,0.07921,0.96757,0.02585,0.99324
761,0.13879,0.97024,,
762,0.0465,0.99038,,
763,0.47098,0.90667,,
764,0.16778,0.95166,,
765,0.15529,0.96311,,
766,0.07672,0.97419,,
767,0.06283,0.98413,,
768,0.03892,0.99052,,
769,0.43103,0.89744,,
770,0.02873,0.98378,0.58772,0.89216
771,0.26857,0.94805,,
772,0.17068,0.96954,,
773,0.16889,0.96981,,
774,0.1887,0.96341,,
775,0.02573,0.98969,,
776,0.07544,0.95833,,
777,0.20706,0.94836,,
778,0.20701,0.95263,,
779,0.19458,0.93868,,
780,0.00438,1.0,0.03631,0.98684
781,0.20861,0.95082,,
782,0.06936,0.97326,,
783,0.03525,0.98684,,
784,0.0619,0.97321,,
785,0.13651,0.95082,,
786,0.4899,0.91905,,
787,0.01001,0.99315,,
788,0.17789,0.95133,,
789,0.0012,1.0,,
790,0.01755,0.99286,0.11067,0.97674
791,0.31746,0.93151,,
792,0.19121,0.95148,,
793,0.438,0.90681,,
794,0.07482,0.98467,,
795,0.29675,0.93972,,
796,0.15043,0.96266,,
797,0.21475,0.94762,,
798,0.19309,0.95604,,
799,0.36141,0.90761,,
800,0.23568,0.95131,0.05353,0.97706
801,0.28274,0.93307,,
802,0.36067,0.94393,,
803,0.21335,0.95628,,
804,0.04906,0.98712,,
805,0.04981,0.97076,,
806,0.16638,0.94527,,
807,0.20614,0.95783,,
808,0.11151,0.96226,,
809,0.15308,0.95939,,
810,0.00997,0.9939,0.16856,0.9596
811,0.12297,0.96373,,
812,0.08104,0.98125,,
813,0.06741,0.9899,,
814,0.18644,0.9562,,
815,0.27351,0.94096,,
816,0.03685,0.97674,,
817,0.14814,0.96454,,
818,0.14662,0.97196,,
819,0.04609,0.99242,,
820,0.70473,0.86881,0.15748,0.98089
821,0.25058,0.95455,,
822,0.32111,0.91748,,
823,0.03187,0.99482,,
824,0.02422,0.9875,,
825,0.03306,0.99422,,
826,0.02078,0.99265,,
827,0.29798,0.9267,,
828,0.06226,0.97412,,
829,0.04457,0.98571,,
830,0.1101,0.97283,0.09717,0.9798
831,0.30968,0.93478,,
832,0.02753,0.98936,,
833,0.01323,0.99468,,
834,0.04219,0.98901,,
835,0.04409,0.97902,,
836,0.00379,1.0,,
837,0.36906,0.92447,,
838,0.44899,0.90076,,
839,0.08994,0.96682,,
840,0.22743,0.94898,0.10814,0.98193
841,0.246,0.94656,,
842,0.20764,0.9668,,
843,0.12903,0.97436,,
844,0.29419,0.94884,,
845,0.04703,0.98658,,
846,0.1891,0.95896,,
847,0.00242,1.0,,
848,0.06765,0.98138,,
849,0.04452,0.98361,,
850,0.81356,0.82753,0.3558,0.92574
851,0.09561,0.98225,,
852,0.02872,0.98673,,
853,0.22185,0.95434,,
854,0.00233,1.0,,
855,0.08437,0.97238,,
856,0.07189,0.98485,,
857,0.26504,0.94175,,
858,0.12717,0.96392,,
859,0.00345,1.0,,
860,0.01071,0.99471,0.22666,0.95868
861,0.11494,0.9703,,
862,0.10176,0.97283,,
863,0.24456,0.94245,,
864,0.05854,0.97143,,
865,0.02229,0.98802,,
866,0.00283,1.0,,
867,0.05231,0.98246,,
868,0.03282,0.98913,,
869,0.15202,0.96698,,
870,0.14956,0.97073,0.07946,0.97462
871,0.01479,1.0,,
872,0.44133,0.89837,,
873,0.21666,0.94677,,
874,0.01426,0.99363,,
875,0.02272,0.9881,,
876,0.17327,0.95652,,
877,0.21311,0.95531,,
878,0.41657,0.9196,,
879,0.7901,0.84136,,
880,0.19716,0.95455,0.21557,0.95361
881,0.07599,0.98913,,
882,0.01266,1.0,,
883,0.34029,0.92462,,
884,0.09167,0.96078,,
885,0.04544,0.9834,,
886,0.00434,1.0,,
887,0.04259,0.99225,,
888,0.05228,0.97778,,
889,0.18615,0.96,,
890,0.19422,0.96144,0.06285,0.97802
891,0.10789,0.95699,,
892,0.04516,0.99465,,
893,0.05098,0.97807,,
894,0.31718,0.94239,,
895,0.41781,0.90734,,
896,0.0009,1.0,,
897,0.08831,0.97033,,
898,0.00661,1.0,,
899,0.07755,0.98077,,
900,0.01511,0.98639,0.2744,0.92982
901,0.19003,0.95431,,
902,0.00564,1.0,,
903,0.08651,0.97477,,
904,0.01832,0.99425,,
905,0.0176,0.99248,,
906,0.30927,0.93182,,
907,0.17539,0.9558,,
908,0.04689,0.98261,,
909,0.06448,0.98496,,
910,0.03892,0.98802,0.58409,0.87607
911,0.14894,0.95597,,
912,0.197,0.95849,,
913,0.4116,0.91694,,
